Column,origo_clean,id
1,NA,HD000001
2,NA,HD000001
3,NA,HD000001
4,NA,HD000002
5,NA,HD000003
6,NA,HD000004
7,NA,HD000004
8,NA,HD000005
9,NA,HD000005
10,NA,HD000005
11,NA,HD000006
12,NA,HD000007
13,NA,HD000008
14,NA,HD000008
15,NA,HD000008
16,NA,HD000010
17,NA,HD000010
18,NA,HD000010
19,Batavia,HD000011
20,NA,HD000011
21,NA,HD000012
22,NA,HD000012
23,NA,HD000013
24,NA,HD000013
25,NA,HD000014
26,NA,HD000014
27,NA,HD000015
28,NA,HD000016
29,NA,HD000017
30,NA,HD000018
31,NA,HD000019
32,NA,HD000020
33,NA,HD000021
34,NA,HD000021
35,NA,HD000021
36,NA,HD000021
37,NA,HD000022
38,NA,HD000022
39,NA,HD000022
40,NA,HD000023
41,NA,HD000023
42,NA,HD000024
43,NA,HD000025
44,NA,HD000025
45,NA,HD000026
46,NA,HD000027
47,NA,HD000027
48,NA,HD000028
49,NA,HD000028
50,NA,HD000029
51,Italicensis,HD000030
52,NA,HD000032
53,NA,HD000032
54,Laodicea in Asia,HD000033
55,NA,HD000033
56,NA,HD000033
57,NA,HD000033
58,NA,HD000033
59,NA,HD000033
60,NA,HD000034
61,Iponobensis,HD000035
62,NA,HD000036
63,NA,HD000037
64,NA,HD000038
65,NA,HD000039
66,NA,HD000040
67,Pannonia,HD000040
68,NA,HD000040
69,NA,HD000041
70,NA,HD000042
71,NA,HD000042
72,Serdica,HD000043
73,NA,HD000043
74,NA,HD000044
75,NA,HD000044
76,NA,HD000046
77,NA,HD000046
78,NA,HD000047
79,NA,HD000049
80,NA,HD000049
81,NA,HD000051
82,NA,HD000052
83,NA,HD000052
84,NA,HD000052
85,NA,HD000052
86,NA,HD000052
87,Veliocassium,HD000054
88,NA,HD000054
89,NA,HD000054
90,NA,HD000054
91,NA,HD000055
92,NA,HD000055
93,NA,HD000055
94,NA,HD000055
95,NA,HD000055
96,NA,HD000058
97,NA,HD000059
98,NA,HD000061
99,NA,HD000062
100,NA,HD000062
101,NA,HD000063
102,NA,HD000063
103,NA,HD000064
104,NA,HD000065
105,NA,HD000066
106,NA,HD000066
107,NA,HD000066
108,NA,HD000066
109,NA,HD000066
110,NA,HD000066
111,NA,HD000066
112,NA,HD000067
113,NA,HD000068
114,NA,HD000069
115,NA,HD000069
116,NA,HD000070
117,NA,HD000072
118,NA,HD000072
119,NA,HD000073
120,NA,HD000073
121,NA,HD000073
122,NA,HD000073
123,NA,HD000073
124,NA,HD000074
125,NA,HD000075
126,NA,HD000075
127,Batavia,HD000076
128,NA,HD000076
129,NA,HD000076
130,NA,HD000078
131,NA,HD000078
132,NA,HD000078
133,Batavia,HD000079
134,NA,HD000079
135,NA,HD000079
136,NA,HD000079
137,NA,HD000080
138,NA,HD000082
139,NA,HD000083
140,NA,HD000083
141,NA,HD000085
142,NA,HD000086
143,NA,HD000086
144,NA,HD000088
145,NA,HD000088
146,NA,HD000089
147,NA,HD000089
148,NA,HD000091
149,NA,HD000092
150,NA,HD000093
151,NA,HD000094
152,NA,HD000094
153,NA,HD000094
154,NA,HD000095
155,NA,HD000096
156,NA,HD000096
157,NA,HD000096
158,NA,HD000096
159,NA,HD000096
160,NA,HD000096
161,NA,HD000096
162,NA,HD000096
163,NA,HD000097
164,NA,HD000097
165,NA,HD000097
166,NA,HD000097
167,NA,HD000097
168,NA,HD000097
169,NA,HD000098
170,NA,HD000099
171,NA,HD000101
172,NA,HD000102
173,NA,HD000102
174,NA,HD000102
175,NA,HD000102
176,NA,HD000102
177,NA,HD000103
178,NA,HD000103
179,NA,HD000103
180,NA,HD000104
181,NA,HD000105
182,NA,HD000105
183,NA,HD000106
184,NA,HD000106
185,NA,HD000107
186,NA,HD000107
187,NA,HD000108
188,NA,HD000108
189,NA,HD000108
190,Mauretania,HD000109
191,NA,HD000109
192,NA,HD000110
193,NA,HD000110
194,NA,HD000112
195,NA,HD000113
196,NA,HD000113
197,NA,HD000113
198,NA,HD000114
199,NA,HD000115
200,NA,HD000116
201,NA,HD000116
202,NA,HD000118
203,NA,HD000119
204,Da[---],HD000120
205,NA,HD000120
206,NA,HD000121
207,NA,HD000122
208,NA,HD000123
209,NA,HD000123
210,NA,HD000124
211,NA,HD000125
212,NA,HD000125
213,NA,HD000126
214,Germanicopolis in Bithynia,HD000126
215,NA,HD000127
216,Singiliensis,HD000127
217,NA,HD000128
218,NA,HD000128
219,NA,HD000128
220,Dertona,HD000129
221,Dertona,HD000129
222,NA,HD000129
223,NA,HD000130
224,NA,HD000130
225,NA,HD000131
226,NA,HD000131
227,NA,HD000132
228,NA,HD000132
229,NA,HD000132
230,NA,HD000132
231,NA,HD000133
232,NA,HD000134
233,NA,HD000134
234,NA,HD000135
235,NA,HD000136
236,NA,HD000137
237,NA,HD000137
238,NA,HD000138
239,NA,HD000138
240,NA,HD000138
241,NA,HD000140
242,NA,HD000140
243,NA,HD000141
244,NA,HD000141
245,NA,HD000141
246,NA,HD000142
247,NA,HD000143
248,NA,HD000144
249,NA,HD000144
250,NA,HD000144
251,NA,HD000145
252,NA,HD000145
253,NA,HD000146
254,NA,HD000147
255,NA,HD000147
256,NA,HD000148
257,NA,HD000149
258,NA,HD000149
