,id,hd_nr,origo,origo_clean,pleiades_id,pleiades_title_list,pleiades_Latitude,pleiades_Longitude,pleiades_title
18,HD000011/1,HD000011,Batavus+,Batavus,,,,,
50,HD000030/1,HD000030,Italicensis*,Italicensis,,,,,
53,HD000033/1,HD000033,Laudicenus (= Laodicenus) ex Asia,Laodicenus Asia,,,,,
60,HD000035/1,HD000035,Iponobensis,Iponobensis,,,,,
66,HD000040/2,HD000040,Pannonius*,Pannonius,,,,,
71,HD000043/1,HD000043,Sendica (= Serdica),Serdica,207439.0,['Serdica'],42.722826,23.342891,Serdica
86,HD000054/1,HD000054,domo civitate+ Veliocassium+,tate Veliocassium,,,,,
126,HD000076/1,HD000076,natione Batavus+,Batavus,,,,,
132,HD000079/1,HD000079,natione* Batavus*?,Batavus,,,,,
189,HD000109/1,HD000109,oriunda+ Mauretania,oriunda Mauretania,,,,,
203,HD000120/1,HD000120,natione* Da[---],Da[---],,,,,
213,HD000126/2,HD000126,Germanicopolis in Bithynia*?,Germanicopolis in Bithynia,,,,,
215,HD000127/2,HD000127,Singilensis*,Singilensis,,,,,
219,HD000129/1,HD000129,Dertona,Dertona,383633.0,['Dertona'],44.897171,8.865452,Dertona
220,HD000129/2,HD000129,Dertona*,Dertona,383633.0,['Dertona'],44.897171,8.865452,Dertona
272,HD000157/1,HD000157,Lucerinus*,Lucerinus,,,,,
296,HD000171/1,HD000171,Caladunus+,Caladunus,,,,,
332,HD000192/1,HD000192,natione* Thrax,Thrax,,,,,
343,HD000197/1,HD000197,Alexandrinus*,Alandrinus,,,,,
410,HD000224/1,HD000224,natione Italo,Italo,,,,,
498,HD000267/1,HD000267,Igabrensis+,Igabrensis,,,,,
517,HD000272/4,HD000272,Turdulus Vetus,Turdulus Vetus,,,,,
518,HD000272/5,HD000272,Turdulus Vetus,Turdulus Vetus,,,,,
519,HD000272/6,HD000272,Turdulus Vetus,Turdulus Vetus,,,,,
525,HD000275/4,HD000275,ex Turduleis Veteribus,Turduleis Veteribus,,,,,
631,HD000335/1,HD000335,Olisiponensis*,Olisiponensis,,,,,
683,HD000358/1,HD000358,Varvaria+*,Varvaria,197574.0,['Varvaria'],43.925326,15.842858,Varvaria
830,HD000423/1,HD000423,Igilgili*,Igilgili,305095.0,['Igilgili'],36.820982,5.765676,Igilgili
844,HD000432/1,HD000432,Sunucus,Sunucus,,,,,
1015,HD000493/1,HD000493,Volubilis*,Volubilis,275740.0,['Volubilis'],34.0728746739,-5.55486856497,Volubilis
1061,HD000532/1,HD000532,domo Hemesa,Hemesa,,,,,
1085,HD000538/6,HD000538,Eraviscus,Eraviscus,,,,,
1087,HD000538/8,HD000538,Eravisca*,Eravisca,,,,,
1143,HD000570/1,HD000570,colonia+* Claudia+* Agrippinensium+*,colonia Claudia Agrippinensium,,,,,
1207,HD000600/1,HD000600,Arretio+,Arretio,,,,,
1309,HD000658/1,HD000658,civis Treverus+,Treverus,,,,,
1347,HD000668/20,HD000668,Salluiensis,Salluiensis,,,,,
1349,HD000668/22,HD000668,Allavonensis+,Allavonensis,,,,,
1353,HD000669/1,HD000669,Brixia,Brixia,383603.0,['Brixia'],45.539773,10.223135,Brixia
1660,HD000703/4,HD000703,Eraviscus*,Eraviscus,,,,,
1678,HD000709/6,HD000709,Eraviscus*,Eraviscus,,,,,
1680,HD000709/8,HD000709,Canac(---)?,Canac(---),,,,,
2053,HD000799/1,HD000799,domo Tigullis exs (= ex) Liguria,Tigullis Liguria,,,,,
2121,HD000838/1,HD000838,Autrico*,Autrico,,,,,
2187,HD000871/1,HD000871,Colonia Ulpia Sermizegetusa (= Sarmizegetusa),Colonia Ulpia Sarmizegetusa,,,,,
2244,HD000899/1,HD000899,Herculaneus*,Herculaneus,,,,,
2301,HD000929/1,HD000929,Viruni,Viruni,,,,,
2323,HD000946/1,HD000946,[---]ria,[---]ria,,,,,
2329,HD000950/1,HD000950,Anaunensis*,Anaunensis,,,,,
2352,HD000964/1,HD000964,domo* Numidia+,Numidia,305120.0,['Numidia'],36.4686128897,6.60428643595,Numidia (region)
2411,HD000976/1,HD000976,Stobi,Stobi,491731.0,['Stobi'],41.5523292686,21.9744009649,Stobi
2468,HD001007/1,HD001007,domo Roma,Roma,423025.0,['Roma'],41.891775,12.486137,Roma
2625,HD001061/1,HD001061,Foro Iulio,Foro Iulio,,,,,
2632,HD001064/1,HD001064,Stobi,Stobi,491731.0,['Stobi'],41.5523292686,21.9744009649,Stobi
2637,HD001067/1,HD001067,Flanona*,Flanona,197272.0,['Flanona'],45.1377845,14.1764485,Flanona
2659,HD001089/1,HD001089,Sarmizegetusa*,Sarmizegetusa,207425.0,['Sarmizegetusa'],45.669615,23.323961,Sarmizegetusa (Regia)
2679,HD001107/1,HD001107,Lemava | Eritaeco,Lemava Eritaeco,,,,,
2681,HD001107/3,HD001107,Lemavus | Eritaeco*,Lemavus Eritaeco,,,,,
2713,HD001124/1,HD001124,Pelagonia+*,Pelagonia,481952.0,['Pelagonia'],41.313278,21.610691,Pelagonia
2738,HD001140/1,HD001140,Vadiniensis*,Vadiniensis,,,,,
2739,HD001140/2,HD001140,Vadiniensis*,Vadiniensis,,,,,
2740,HD001140/3,HD001140,Vadiniensis*,Vadiniensis,,,,,
2741,HD001140/4,HD001140,Vadiniensis*,Vadiniensis,,,,,
2747,HD001143/1,HD001143,Vadiniensis*,Vadiniensis,,,,,
2874,HD001200/1,HD001200,Segusiavus,Segusiavus,,,,,
3021,HD001276/1,HD001276,Elusatis,Elusatis,,,,,
3026,HD001280/1,HD001280,Perusia+?,Perusia,413248.0,['Perusia'],43.111192,12.3899085,Perusia
3065,HD001300/1,HD001300,Surus*,Surus,,,,,
3102,HD001321/1,HD001321,Civis Nemes,Nemes,,,,,
3107,HD001324/1,HD001324,natione Armenius,Armenius,,,,,
3132,HD001339/2,HD001339,Corinthus,Corinthus,570182.0,"['Corinthus', 'Korinthos']",37.9063291644,22.8808413925,Corinthus/Korinthos
3203,HD001389/1,HD001389,natus* Athenis*,Athenis,,,,,
3235,HD001404/1,HD001404,Clunia+,Clunia,187350.0,['Clunia'],47.260687,9.617966,Clunia
3322,HD001465/1,HD001465,Parma+,Parma,383737.0,['Parma'],44.801507,10.327967,Parma
3458,HD001533/1,HD001533,Iguvio,Iguvio,,,,,
3461,HD001536/1,HD001536,Ara,Ara,,,,,
