,id,hd_nr,origo,origo_clean,pleiades_id,pleiades_title_list,pleiades_Latitude,pleiades_Longitude,pleiades_title,MachineGeocoded,PossiblePlacename1,Note,Source,Lat1,Long1,Certainty,SourceURL(e.g. Pleiades id number or URL),PossiblePlace2,Note,Lat2,Long2,Link_or_Ref
18,HD000011/1,HD000011,Batavus+,Batavus,118590,,48.573506,13.463921,Batavi,,,,Pleiades,,,certain,,,,,,
50,HD000030/1,HD000030,Italicensis*,Italicensis,1052,,43.6941505,11.0949512,Italia,,,,Pleiades,,,certain,,,,,,
53,HD000033/1,HD000033,Laudicenus (= Laodicenus) ex Asia,Laodicenus Asia,638955,,37.83593932,29.10738878,Laodicea ad Lycum/Diospolis/Roas,,,,Pleiades,,,certain,,,,,,
60,HD000035/1,HD000035,Iponobensis,Iponobensis,265936,,37.5966266,-4.3084564,Iponuba/Hippo Nova,,,,Pleiades,,,certain,,,,,,
66,HD000040/2,HD000040,Pannonius*,Pannonius,1001905,,47.5,17.5,Pannonia,,,,Pleiades,,,certain,,,,,,
71,HD000043/1,HD000043,Sendica (= Serdica),Serdica,207439,['Serdica'],42.722826,23.342891,Serdica,Y,,,Pleiades,,,certain,,,,,,
86,HD000054/1,HD000054,domo civitate+ Veliocassium+,tate Veliocassium,109412,,49.36400147,0.8310974769,Veliocasses,,,,Pleiades,,,uncertain (name could be interpreted differently),,,,,,
126,HD000076/1,HD000076,natione Batavus+,Batavus,118590,,48.573506,13.463921,Batavi,,,,Pleiades,,,certain,,,,,,
132,HD000079/1,HD000079,natione* Batavus*?,Batavus,118590,,48.573506,13.463921,Batavi,,,,Pleiades,,,certain,,,,,,
189,HD000109/1,HD000109,oriunda+ Mauretania,oriunda Mauretania,1119,,32.5,-2.5,Mauretania,,,,Pleiades,,,certain,,,,,,
203,HD000120/1,HD000120,natione* Da[---],Da[---],981518,,47.5,22.5,Dacia (province),,Dalmatia (province),,Pleiades,43.539561,16.483426,uncertain (another good variant exists),https://pleiades.stoa.org/places/981522,,,,,
213,HD000126/2,HD000126,Germanicopolis in Bithynia*?,Germanicopolis in Bithynia,844926,,40.6013428,33.6134213,Gangra,,,,Pleiades,,,certain,,,,,,
