,source_index,dest_index,weight
0,0.0,0.0,1
1,0.0,6.0,2
2,0.0,20.0,4
3,0.0,23.0,1
4,0.0,24.0,1
5,0.0,28.0,1
6,0.0,29.0,1
7,0.0,30.0,4
8,0.0,39.0,1
9,0.0,41.0,2
10,0.0,43.0,1
11,0.0,56.0,1
12,0.0,58.0,1
13,0.0,59.0,1
14,0.0,60.0,2
15,1.0,23.0,1
16,1.0,58.0,1
17,1.0,59.0,1
18,3.0,6.0,3
19,3.0,7.0,1
20,3.0,23.0,4
21,3.0,28.0,3
22,3.0,44.0,2
23,3.0,56.0,1
24,3.0,58.0,2
25,3.0,59.0,2
26,3.0,60.0,3
27,4.0,3.0,1
28,4.0,6.0,2
29,4.0,20.0,2
30,4.0,23.0,2
31,4.0,28.0,3
32,4.0,42.0,1
33,4.0,44.0,2
34,4.0,56.0,1
35,4.0,58.0,2
36,4.0,60.0,2
37,5.0,5.0,1
38,5.0,6.0,2
39,5.0,23.0,1
40,5.0,44.0,2
41,5.0,60.0,2
42,6.0,2.0,1
43,6.0,6.0,5
44,6.0,12.0,1
45,6.0,20.0,1
46,6.0,23.0,8
47,6.0,28.0,2
48,6.0,30.0,1
49,6.0,39.0,2
50,6.0,41.0,2
51,6.0,42.0,5
52,6.0,43.0,7
53,6.0,44.0,2
54,6.0,48.0,2
55,6.0,50.0,1
56,6.0,55.0,1
57,6.0,56.0,8
58,6.0,57.0,2
59,6.0,58.0,3
60,6.0,59.0,3
61,6.0,60.0,3
62,7.0,3.0,1
63,7.0,6.0,3
64,7.0,7.0,1
65,7.0,10.0,1
66,7.0,11.0,1
67,7.0,20.0,3
68,7.0,23.0,6
69,7.0,28.0,2
70,7.0,29.0,2
71,7.0,30.0,4
72,7.0,42.0,1
73,7.0,43.0,4
74,7.0,44.0,2
75,7.0,52.0,1
76,7.0,56.0,4
77,7.0,58.0,1
78,7.0,59.0,13
79,7.0,60.0,3
80,8.0,0.0,1
81,8.0,6.0,3
82,8.0,20.0,3
83,8.0,23.0,28
84,8.0,28.0,4
