"","pleiades_title","n"
"1","Scupi",42
"2","Remesiana",41
"3","Treveri",37
"4","Savaria",35
"5","Ratiaria",34
"6","Roma",32
"7","Verona",30
"8","Sirmio",27
"9","Ara Ubiorum/Col. Claudia Ara Agrippinensium",26
"10","Mediolanum",25
"11","Salona",23
"12","Aquileia",22
"13","Vindobona",22
"14","Virunum",22
"15","Celeia",20
"16","Batavi",19
"17","Brixia",19
"18","Corduba/col. Patricia",19
"19","Cremona",19
"20","Felsina/Bononia",19
"21","Col. Forum Iulii",17
"22","Lucus Augusti",17
"23","Singili(a) Barba",15
"24","Ancyra",13
"25","Heraclea",13
"26","Segestica/Siscia",13
"27","Col. Vienna",12
"28","Eravisci",12
"29","Mediomatrici",12
"30","Mursa",12
"31","Placentia",12
"32","Aequum",11
"33","Africa (region)",11
"34","Arretium",11
"35","Bessi",11
"36","Dacia (province)",11
"37","Dertona",11
"38","Florentia",11
"39","Nicopolis",11
"40","Pannonia",11
"41","Taurini",11
"42","Tolosa",11
"43","Tyrus/Col. Septimia Severa",11
"44","Viminacium",11
"45","Augusta/Augustopolis/[Thebae]?",10
"46","Germania",10
"47","Hellas",10
"48","Jebel Khayabir/Alexandria?/Antiochia?/Spasinou Charax?/Karkh Maisan?/[Astarabad Ardashir]?",10
"49","Krenides/Philippi/col. Augusta Iulia Phillippensis",10
"50","Lugdunum",10
"51","Noricum (region)",10
"52","Pollentia",10
"53","Vercellae",10
"54","Arabia (Province)",9
"55","Ateste",9
"56","Cemenelum",9
"57","Emerita Augusta",9
"58","Sequania",9
"59","Ticinus (River)",9
"60","Aurgi/Orongis",8
"61","Baedro",8
"62","Clunia",8
"63","Dalmatia (province)",8
"64","Italia",8
"65","Lugdunensis (Province)",8
"66","Nescania",8
"67","Nicomedia",8
"68","Oescus",8
"69","Patavium",8
"70","Raetia",8
"71","Sarmizegetusa (Regia)",8
"72","Thracia",8
"73","Tungri",8
"74","(H)Emesa",7
"75","Ad Duodecimum",7
"76","Andematunnum",7
"77","Aventicum",7
"78","Delmatae",7
"79","Eporedia",7
"80","Faventia",7
"81","Iuvavum",7
"82","Lauro/*Olaurum",7
"83","Neapolis/Lepcis Magna",7
"84","Nemeturii",7
"85","Parma",7
"86","Pelagonia",7
"87","Alba",6
"88","Anticaria",6
"89","Ariminum",6
"90","Astigi/Col. Augusta Firma",6
"91","Augusta Taurinorum",6
"92","Beirut",6
"93","Emona",6
"94","Hispania Citerior (Province)",6
"95","Macedonia (Roman province)",6
"96","Nervii",6
"97","Obulco",6
"98","Syria (Roman Imperial Province)",6
"99","Tucci/Col. Augusta Gemella",6
"100","Ulia (Fidentia)",6
"101","Vadinienses",6
"102","Zeugma",6
"103","Aeso",5
"104","Alebaece Reiorum Apollinarium/Apollinaris Reiorum/Reii",5
"105","Aquis Querquennis",5
"106","Baetica",5
"107","Ber(r)oia",5
"108","Britannia (Province)",5
"109","Brixellum",5
"110","Col. Narbo Martius",5
"111","Corduba/Col. Patricia",5
"112","Iader",5
"113","Igabrum/Egabrum",5
"114","Ilurco",5
"115","Ipolcobulcola",5
"116","Luca",5
"117","Marsaci?",5
"118","Mirobriga",5
"119","Ostipo",5
"120","Palmyra",5
"121","Pessinous/Iustinianoupolis",5
"122","Philadelphia",5
"123","Ravenna",5
"124","Saldae",5
"125","Traiana",5
"126","Vicetia",5
"127","Victoriacum",5
"128","Aquincum",4
"129","Ara Ubiorum/ Col. Claudia Ara  Agrippinensium",4
"130","Ascua/Osqua",4
"131","Beneventum/Maleventum",4
"132","Bodiontici",4
"133","Bracara Augusta",4
"134","Breuci",4
"135","Carnuntum",4
"136","Carthaginiensis",4
"137","Col. Caesaraugusta",4
"138","Comum",4
"139","Dardania",4
"140","Ephesus/Arsinoe(ia)",4
"141","Galliae",4
"142","H(Aedui)",4
"143","Hierapolis",4
"144","Kyrros",4
"145","Luceria/Noukeria (Apoulon)",4
"146","Mutina",4
"147","Nemausus",4
"148","Nertobriga",4
"149","Pautalia",4
"150","Pisaurum",4
"151","Regium Lepidum",4
"152","Stobi",4
"153","Theline/ Col. Arelate/Constantina",4
"154","Thessalonica",4
"155","Tios/Tieion",4
"156","Turduli Veteres",4
"157","Ubii",4
"158","Valentia",4
"159","Veleia",4
"160","Ventipo",4
"161","Volubilis",4
"162","(H)Aedui",3
"163","(S)Ucia",3
"164","Acelum",3
"165","Alba Pompeia",3
"166","Amaseia",3
"167","Amastris/Sesamos",3
"168","Ambiani",3
"169","Andautonia",3
"170","Antiochia/Theupolis",3
"171","Armenia (Roman province)",3
"172","Arsen (River)",3
"173","Asido",3
"174","Augusta Vindelicum/Aelia Augusta",3
"175","Batavodurum/(Ulpia) Noviomagus",3
"176","Bithynia",3
"177","Calagurris (Nassica) Iulia",3
"178","Camunni",3
"179","Capua",3
"180","Cirta/Constantina",3
"181","Conana/Iustinianopolis?",3
"182","Corinthus/Korinthos",3
"183","Damascus",3
"184","Doclea",3
"185","Doliche",3
"186","Dumnonii",3
"187","Edessa/Antiochia ad Callirhoem",3
"188","Firmum Picenum",3
"189","Germania Superior (Province)",3
"190","Hatria (Picenum)",3
"191","Icosium",3
"192","Ipagrum/Epagrum",3
"193","Iponuba/Hippo Nova",3
"194","Iudaea (region)",3
"195","Laranda",3
"196","Lingones",3
"197","Lopodunum",3
"198","Mantua",3
"199","Mellaria",3
"200","Montans",3
"201","Neapolis",3
"202","Nicaea",3
"203","Noviomagus/Nemetae",3
"204","Octodurus/Forum Claudii Vallensium",3
"205","Olisipo",3
"206","Opitergium",3
"207","Palma",3
"208","Pannonia Superior (Province)",3
"209","Perinthus/Heraclea",3
"210","Philippopolis/Trimontium",3
"211","Poetovio",3
"212","Puteolanus Sinus/Crater",3
"213","Reginum/Castra Regina",3
"214","Remi",3
"215","Rhizon/Risinium",3
"216","Salinae",3
"217","Segontia",3
"218","Tapori",3
"219","Tarraconensis",3
"220","Teanum Sidicinum",3
"221","Tergeste",3
"222","Triboci",3
"223","Trident(i)um",3
"224","Urci?",3
"225","Uxama (Argaela)",3
"226","(H)Eraclia",2
"227","Abonouteichos/Ionopolis",2
"228","Aegyptus (Roman imperial province)",2
"229","Aenona",2
"230","Aequiculi",2
"231","Allava",2
"232","Ampelos",2
"233","Anderitum",2
"234","Ansium",2
"235","Antiochia/Theoupolis",2
"236","Apamea",2
"237","Apta Iulia",2
"238","Aratispi",2
"239","Arausa",2
"240","Areth(o)usa",2
"241","Asia",2
"242","Augusta Bagiennorum",2
"243","Aurelium Cananefatium/Forum Hadriani",2
"244","Bassiana",2
"245","Bellovaci",2
"246","Boi(i)",2
"247","Brigantes",2
"248","Calagurris *Fibularia",2
"249","Campania",2
"250","Camulodonum",2
"251","Cappadox? (river)",2
"252","Celtianis",2
"253","Cibalae",2
"254","Cilicia",2
"255","Col. Augusta Raurica",2
"256","Col. Augusta Treveorum",2
"257","Col. Barcino",2
"258","Col. Dea Vocontiorum",2
"259","Concordia?",2
"260","Dalmatia (Province)",2
"261","Deva",2
"262","Dinia",2
"263","Edetania (Region)",2
"264","Elusa",2
"265","Equizeto?",2
"266","Faesulae",2
"267","Falerio",2
"268","Fanum Fortunae",2
"269","Forum Cornelii",2
"270","Forum Vibii",2
"271","Frisiavones",2
"272","Fundi",2
"273","Galata",2
"274","Glanate",2
"275","Hasta",2
"276","Helikore/Nicaea",2
"277","Hispellum",2
"278","Horeum Margi",2
"279","Iconium/Claudiconium",2
"280","Ierusalem/Hierosolyma/Col. Aeilia Capitolina",2
"281","Iguvium",2
"282","Iliberri",2
"283","Iliturgi",2
"284","Iporca",2
"285","Laus Pompeia",2
"286","Les(s)os",2
"287","Levami",2
"288","Liburnia (Region)",2
"289","Luna",2
"290","Lupia(e)",2
"291","Lusitani",2
"292","Mauretania",2
"293","Mazaka/Eusebeia/Caesarea",2
"294","Miletus",2
"295","Milyadeis",2
"296","Moge(n)tiana",2
"297","Narbonensis (region)",2
"298","Norba",2
"299","Novaria",2
"300","Ostia",2
"301","Otobesa/Etobesa",2
"302","Pontica",2
"303","Praeneste",2
"304","Ruteni",2
"305","Saguntia",2
"306","Samosata",2
"307","Serdica",2
"308","Sicca Veneria",2
"309","Singidunum",2
"310","Sinope",2
"311","Smyrna/Eurydikeia",2
"312","Sopianae",2
"313","Suebi",2
"314","Sumolecenna",2
"315","Taouion/Tabia",2
"316","Thaenae",2
"317","Theveste",2
"318","Thyateira",2
"319","Traian",2
"320","Tribus Sergia",2
"321","Troas (Region)",2
"322","Varvaria",2
"323","Vasio",2
"324","Veliocasses",2
"325","Virumandui",2
"326","Volsinii",2
"327","(H)Atria",1
"328","(I)Tucci",1
"329","(Khuvar)/Choara/Apameia (Rhagiane)?",1
"330","*Ganuenta?",1
"331","*Sosontigi",1
"332","Ad Lucos",1
"333","Ad Portum/Gadiatanus Portus",1
"334","Addua (River)",1
"335","Aelia?",1
"336","Aequum Tuticum//Equus Tuticus",1
"337","Aguntum",1
"338","Aiungi",1
"339","Akesinos/Sandabal (River)",1
"340","Alaba",1
"341","Alb(i)um Intimilium/Albintimilium",1
"342","Albanopolis",1
"343","Album Ingaunum/Albingaunum",1
"344","Aloros",1
"345","Altinum",1
"346","Amblada",1
"347","Ammaedara",1
"348","Amphipolis",1
"349","Anaunion",1
"350","Anazarbos/Caesarea/Ioustin(ian)oupolis",1
"351","Anchialus",1
"352","Ancon(a)",1
"353","Ankyra",1
"354","Anthedon/Agrippias",1
"355","Antigoneia/(Col. Augusta) Alexandiria Troas",1
"356","Antipolis",1
"357","Aquae",1
"358","Aquae Calidae",1
"359","Aquae Flaviae",1
"360","Aquae Statiellae",1
"361","Archelais",1
"362","Arcobriga",1
"363","Arduenna Silva",1
"364","Argos Hippium/Arpi/Argyripa",1
"365","Arna",1
"366","Arsia (River)",1
