"","province","n"
"1","Baetica",173
"2","Venetia et Histria (Regio X)",171
"3","Hispania Citerior",139
"4",NA,114
"5","Moesia Superior",103
"6","Pannonia Superior",100
"7","Narbonensis",86
"8","Dalmatia",74
"9","Belgica",71
"10","Noricum",68
"11","Transpadana (Regio XI)",68
"12","Aemilia (Regio VIII)",66
"13","Germania Inferior",62
"14","Latium et Campania (Regio I)",60
"15","Syria",57
"16","Moesia Inferior",51
"17","Etruria (Regio VII)",50
"18","Thracia",50
"19","Germania Superior",49
"20","Raetia",48
"21","Macedonia",41
"22","Asia",40
"23","Bithynia et Pontus",39
"24","Galatia",39
"25","Aquitania",37
"26","Lusitania",37
"27","Pannonia Inferior",37
"28","Roma",33
"29","Liguria (Regio IX)",25
"30","Alpes Maritimae",24
"31","Lugdunensis",23
"32","Achaia",22
"33","Britannia",20
"34","Africa Proconsularis",18
"35","Umbria (Regio VI)",18
"36","Aegyptus",17
"37","Cilicia",17
"38","Apulia et Calabria (Regio II)",16
"39","Picenum (Regio V)",16
"40","Mesopotamia",14
"41","Numidia",14
"42","Dacia",13
"43","Iudaea",13
"44","Cappadocia",12
"45","Mauretania Caesariensis",12
"46","Mauretania Tingitana",8
"47","Creta",7
"48","Samnium (Regio IV)",6
"49","Lycia et Pamphylia",5
"50","Sicilia",5
"51","Alpes Poeninae",3
"52","Assyria",3
"53","Bruttium et Lucania (Regio III)",3
"54","Epirus",3
"55","Alpes Cottiae",2
"56","Arabia",2
"57","Cyrene",2
"58","Armenia",1
"59","Corsica",1
"60","Cyprus",1
"61","Sardinia",1
