"","hd_nr","province"
"9.1","HD075628","Roma"
"12","HD042997","Bithynia et Pontus"
"51","HD017350",NA
"65","HD017350","Germania Inferior"
"66","HD017350","Germania Inferior"
"67","HD017350","Germania Inferior"
"68","HD017350","Germania Inferior"
"69","HD017350","Germania Inferior"
"70","HD017350","Germania Inferior"
"71","HD017350","Germania Inferior"
"72","HD017350","Germania Inferior"
"73","HD017350","Germania Inferior"
"77","HD017350","Germania Inferior"
"78","HD017350","Germania Inferior"
"79","HD017350","Germania Inferior"
"80","HD017350","Germania Inferior"
"81","HD017350","Germania Inferior"
"90","HD017350","Hispania Citerior"
"117","HD032316","Creta"
"127","HD032316","Galatia"
"176","HD028516","Venetia et Histria (Regio X)"
"187","HD004855","Venetia et Histria (Regio X)"
"188","HD004855","Venetia et Histria (Regio X)"
"189","HD004855","Venetia et Histria (Regio X)"
"190","HD004855","Venetia et Histria (Regio X)"
"269","HD020943","Venetia et Histria (Regio X)"
"313","HD030071","Baetica"
"316","HD003040","Samnium (Regio IV)"
"325","HD010985","Baetica"
"327","HD010988","Baetica"
"334","HD039267",NA
"350","HD009233","Raetia"
"352","HD017350","Raetia"
"353","HD017350","Raetia"
"362","HD017350","Belgica"
"425","HD004855","Pannonia Superior"
"430","HD017350","Britannia"
"460","HD042997","Cappadocia"
"467","HD080539","Hispania Citerior"
"480","HD017350","Germania Inferior"
"485","HD032316","Latium et Campania (Regio I)"
"490","HD003040","Latium et Campania (Regio I)"
"497","HD003040",NA
"501","HD032316","Moesia Superior"
"502","HD032316","Moesia Superior"
"503","HD032316","Moesia Superior"
"504","HD032316","Moesia Superior"
"505","HD032316","Moesia Superior"
"514","HD017350","Noricum"
"534","HD017350","Alpes Maritimae"
"535","HD017350","Alpes Maritimae"
"551","HD003040","Moesia Inferior"
"574","HD017350","Raetia"
"580","HD003040","Etruria (Regio VII)"
"587","HD017350","Latium et Campania (Regio I)"
"605","HD039267","Baetica"
"615","HD003040","Venetia et Histria (Regio X)"
"617","HD003374","Venetia et Histria (Regio X)"
"642","HD032316","Lycia et Pamphylia"
"661","HD023171","Dalmatia"
"685","HD015051","Dalmatia"
"689","HD000129","Liguria (Regio IX)"
"692","HD017350","Liguria (Regio IX)"
"745","HD004855","Venetia et Histria (Regio X)"
"746","HD004855","Venetia et Histria (Regio X)"
"764","HD000538","Pannonia Inferior"
"771","HD055964","Pannonia Inferior"
"777","HD003040","Picenum (Regio V)"
"797","HD067677","Pannonia Superior"
"813.1","HD056181","Roma"
"831","HD017350","Narbonensis"
"890","HD017350","Picenum (Regio V)"
"904","HD036791","Germania Superior"
"915","HD017350","Bithynia et Pontus"
"918","HD032316","Bithynia et Pontus"
"927","HD042997","Venetia et Histria (Regio X)"
"951","HD017350","Moesia Superior"
