"","hd_nr","province"
"5.1","HD010286","Roma"
"12","HD042997",NA
"14.1","HD005169","Roma"
"15.1","HD005172","Roma"
"20.1","HD001622","Roma"
"24.1","HD007403","Roma"
"30.1","HD006535","Noricum"
"32.1","HD001557","Roma"
"50.1","HD010292","Roma"
"51","HD017350","Moesia Inferior"
"65","HD017350","Moesia Inferior"
"66","HD017350","Moesia Inferior"
"67","HD017350","Moesia Inferior"
"68","HD017350","Moesia Inferior"
"69","HD017350","Moesia Inferior"
"70","HD017350","Moesia Inferior"
"71","HD017350","Moesia Inferior"
"72","HD017350","Moesia Inferior"
"73","HD017350","Moesia Inferior"
"77","HD017350","Moesia Inferior"
"78","HD017350","Moesia Inferior"
"79","HD017350","Moesia Inferior"
"80","HD017350","Moesia Inferior"
"81","HD017350","Moesia Inferior"
"90","HD017350","Moesia Inferior"
"101.1","HD001560","Roma"
"117","HD032316","Moesia Superior"
"121.1","HD001590","Roma"
"127","HD032316","Moesia Superior"
"158.1","HD035420","Moesia Superior"
"176","HD028516","Pannonia Superior"
"187","HD004855","Pannonia Inferior"
"188","HD004855","Pannonia Inferior"
"189","HD004855","Pannonia Inferior"
"190","HD004855","Pannonia Inferior"
"193.1","HD004548","Roma"
"206.1","HD001536","Roma"
"216.1","HD006254","Roma"
"229.1","HD004524","Roma"
"236.1","HD001324","Roma"
"238.1","HD003040","Roma"
"269","HD020943","Germania Superior"
"313","HD030071","Baetica"
"316","HD003040","Latium et Campania (Regio I)"
"316.1","HD003040","Roma"
"325","HD010985","Baetica"
"327","HD010988","Baetica"
"334","HD039267","Hispania Citerior"
"347.1","HD000011","Roma"
"348.1","HD000076","Roma"
"349.1","HD000079","Roma"
"350","HD009233","Raetia"
"352","HD017350","Moesia Inferior"
"353","HD017350","Moesia Inferior"
"362","HD017350","Moesia Inferior"
"364.1","HD005166","Roma"
"383.1","HD010280","Roma"
"402.1","HD001551","Roma"
"403.1","HD003513","Roma"
"404.1","HD004515","Roma"
"425","HD004855","Pannonia Inferior"
"428.1","HD006493","Roma"
"430","HD017350","Moesia Inferior"
"437.1","HD004282","Roma"
"439.1","HD001569","Roma"
"460","HD042997",NA
"467","HD080539","Germania Inferior"
"480","HD017350","Moesia Inferior"
"485","HD032316","Moesia Superior"
"490","HD003040","Latium et Campania (Regio I)"
"490.1","HD003040","Roma"
"497","HD003040","Latium et Campania (Regio I)"
"497.1","HD003040","Roma"
"501","HD032316","Moesia Superior"
"502","HD032316","Moesia Superior"
"503","HD032316","Moesia Superior"
"504","HD032316","Moesia Superior"
"505","HD032316","Moesia Superior"
"514","HD017350","Moesia Inferior"
"531.1","HD001539","Roma"
"534","HD017350","Moesia Inferior"
"535","HD017350","Moesia Inferior"
"551","HD003040","Latium et Campania (Regio I)"
"551.1","HD003040","Roma"
"558.1","HD001766","Roma"
"574","HD017350","Moesia Inferior"
"580","HD003040","Latium et Campania (Regio I)"
"580.1","HD003040","Roma"
"587","HD017350","Moesia Inferior"
"595.1","HD001563","Roma"
"605","HD039267","Hispania Citerior"
"610.1","HD005115","Roma"
"611.1","HD001339","Roma"
"615","HD003040","Latium et Campania (Regio I)"
"615.1","HD003040","Roma"
"617","HD003374","Venetia et Histria (Regio X)"
"642","HD032316","Moesia Superior"
"647.1","HD000120","Roma"
"661","HD023171","Pannonia Superior"
"685","HD015051","Aemilia (Regio VIII)"
"688.1","HD000129","Roma"
"689","HD000129","Latium et Campania (Regio I)"
"689.1","HD000129","Roma"
"692","HD017350","Moesia Inferior"
"706.1","HD025760","Roma"
"731.1","HD001276","Roma"
"745","HD004855","Pannonia Inferior"
"746","HD004855","Pannonia Inferior"
"764","HD000538","Pannonia Inferior"
"771","HD055964","Pannonia Inferior"
"777","HD003040","Latium et Campania (Regio I)"
"777.1","HD003040","Roma"
"780.1","HD006780","Roma"
"797","HD067677","Pannonia Superior"
"799.1","HD003789","Roma"
"831","HD017350","Moesia Inferior"
"840.1","HD004583","Roma"
"842.1","HD010322","Roma"
