"","findspot_ancient_clean","n"
"1","Mogontiacum",205
"2","Viminacium",177
"3","Carnuntum",142
"4","NULL",113
"5","Roma",99
"6","Aquincum",87
"7","Salonae",71
"8","Tropaeum Traiani",57
"9","Colonia Claudia Augusta Agrippinensium",46
"10","Burnum",42
"11","Deva",30
"12","Corduba",29
"13","Apulum",26
"14","Bonna",26
"15","Tilurium",26
"16","Novae",24
"17","Brigetio",21
"18","Intercisa",21
"19","Scupi",20
"20","Troesmis",18
"21","Bigeste",17
"22","Tomi",17
"23","Oescus",16
"24","Singilia Barba",14
"25","Vindonissa",14
"26","Baedro",13
"27","Celeia",13
"28","Poetovio",13
"29","Savaria",13
"30","Civitas Auderiensium",12
"31","Colonia Ulpia Traiana",12
"32","Augusta Treverorum",11
"33","Aurgi",11
"34","Colonia Ulpia Traiana Sarmizegetusa",11
"35","Scarbantia",11
"36","Ulpia Noviomagus Batavorum",11
"37","Argentorate (Civitas Tribocorum)",10
"38","Cemenelum",10
"39","Cibalae",10
"40","Olaurum",10
"41","Aquae Mattiacorum (Civitas Mattiacorum)",9
"42","Campona",9
"43","Illici",9
"44","Borbetomagus (Civitas Vangionum)",8
"45","Civitas Lingonum",8
"46","Ganuenta",8
"47","Nescania",8
"48","Virunum",8
"49","Astigi",7
"50","Barcino",7
"51","Bingium",7
"52","Eburacum",7
"53","Ipolcobulcula",7
"54","Isca Silurum",7
"55","Lindum",7
"56","Nida (Civitas Taunensium)",7
"57","Ninia",7
"58","Saguntum",7
"59","Tucci",7
"60","Aeso",6
"61","Aquae (Civitas Aurelia Aquensis)",6
"62","Aquae Sulis",6
"63","Aquileia",6
"64","Athenae",6
"65","Castra Regina",6
"66","Iader",6
"67","Lambaesis",6
"68","Londinium",6
"69","Municipium Claudium Virunum",6
"70","Novaesium",6
"71","Sirmium",6
"72","Vindobona",6
"73","Alauna",5
"74","Anticaria",5
"75","Arrabona",5
"76","Artigi",5
"77","Civitas Ulpia Sueborum Nicrensium",5
"78","Doclea",5
"79","Igabrum",5
"80","Iliturgicola",5
"81","Ilurco",5
"82","Mirobriga Turdulorum",5
"83","Narona",5
"84","Solva",5
"85","Ulisi",5
"86","Aequum",4
"87","Alburnus Maior",4
"88","Ampelum",4
"89","Augusta Vindelicorum",4
"90","Castellum Mattiacorum (Civitas Mattiacorum)",4
"91","Civitas Alisinensium",4
"92","Civitas Igaeditanorum",4
"93","Drobeta",4
"94","Ipagrum",4
"95","Iponoba",4
"96","Lauriacum",4
"97","Lugdunum",4
"98","Lussonium",4
"99","Municipium S[---]",4
"100","Ostippo",4
"101","Singidunum",4
"102","Sosontigi",4
"103","Summus Poeninus",4
"104","Ad Mediam",3
"105","Andetrium",3
"106","Arbeia",3
"107","Aventicum (Civitas Helvetiorum)",3
"108","Bononia",3
"109","Carthago Nova",3
"110","Classis",3
"111","Corinium Dobunnorum",3
"112","Dianium",3
"113","Durostorum",3
"114","Emerita Augusta",3
"115","Flavia Solva",3
"116","Iliturgi",3
"117","Iulipa",3
"118","Luguvalium",3
"119","Magnae",3
"120","Municipium Montanensium",3
"121","Mursa",3
"122","Nicopolis ad Istrum",3
"123","Philippopolis",3
